id,testcase_group,testname,total_value,total _weight,optimization
1,00Uncorrelated,n00050-R01000-s097.kp,19243,13402,TRUE
2,00Uncorrelated,n00050-R10000-s075.kp,192031,140063,TRUE
3,00Uncorrelated,n00100-R01000-s015.kp,42344,25811,TRUE
4,00Uncorrelated,n00100-R10000-s005.kp,421993,284297,TRUE
5,00Uncorrelated,n00200-R01000-s039.kp,77011,48612,TRUE
6,00Uncorrelated,n00200-R10000-s044.kp,781605,473241,TRUE
7,00Uncorrelated,n00500-R01000-s011.kp,205442,124716,TRUE
8,00Uncorrelated,n00500-R10000-s011.kp,2053300,1246081,TRUE
9,00Uncorrelated,n01000-R01000-s085.kp,400821,247865,TRUE
10,00Uncorrelated,n01000-R10000-s061.kp,4030247,2430923,TRUE
11,00Uncorrelated,n02000-R01000-s086.kp,796177,500746,TRUE
12,00Uncorrelated,n02000-R10000-s014.kp,7954740,5008089,TRUE
13,00Uncorrelated,n05000-R01000-s056.kp,2034811,1244471,TRUE
14,00Uncorrelated,n05000-R10000-s048.kp,20664646,12441540,TRUE
15,00Uncorrelated,n10000-R01000-s065.kp,4087027,2458623,TRUE
16,00Uncorrelated,n10000-R10000-s015.kp,40411367,24747169,TRUE
17,01WeaklyCorrelated,n00050-R01000-s087.kp,13403,12698,TRUE
18,01WeaklyCorrelated,n00050-R10000-s037.kp,137591,126799,TRUE
19,01WeaklyCorrelated,n00100-R01000-s076.kp,26616,24264,TRUE
20,01WeaklyCorrelated,n00100-R10000-s028.kp,246568,223509,TRUE
21,01WeaklyCorrelated,n00200-R01000-s071.kp,53218,47617,TRUE
22,01WeaklyCorrelated,n00200-R10000-s095.kp,533638,477632,TRUE
23,01WeaklyCorrelated,n00500-R01000-s076.kp,138553,125283,TRUE
24,01WeaklyCorrelated,n00500-R10000-s033.kp,1372092,1234459,TRUE
25,01WeaklyCorrelated,n01000-R01000-s058.kp,283149,256616,TRUE
26,01WeaklyCorrelated,n01000-R10000-s062.kp,2761137,2492156,TRUE
27,01WeaklyCorrelated,n02000-R01000-s037.kp,544300,491549,TRUE
28,01WeaklyCorrelated,n02000-R10000-s047.kp,5485784,4957655,TRUE
29,01WeaklyCorrelated,n05000-R01000-s052.kp,1362282,1234217,TRUE
30,01WeaklyCorrelated,n05000-R10000-s070.kp,13704852,12418251,TRUE
31,01WeaklyCorrelated,n10000-R01000-s083.kp,2765898,2504116,TRUE
32,01WeaklyCorrelated,n10000-R10000-s040.kp,27116413,24542907,TRUE
33,02StronglyCorrelated,n00050-R01000-s087.kp,16201,12701,TRUE
34,02StronglyCorrelated,n00050-R10000-s065.kp,161589,127589,TRUE
35,02StronglyCorrelated,n00100-R01000-s057.kp,31683,24683,TRUE
36,02StronglyCorrelated,n00100-R10000-s026.kp,311816,239816,TRUE
37,02StronglyCorrelated,n00200-R01000-s077.kp,64356,50356,FALSE
38,02StronglyCorrelated,n00200-R10000-s069.kp,630699,490699,FALSE
39,02StronglyCorrelated,n00500-R01000-s015.kp,165311,130711,FALSE
40,02StronglyCorrelated,n00500-R10000-s075.kp,1574000,1223000,FALSE
41,02StronglyCorrelated,n01000-R01000-s019.kp,309520,238720,FALSE
42,02StronglyCorrelated,n01000-R10000-s001.kp,3242137,2544137,FALSE
43,02StronglyCorrelated,n02000-R01000-s053.kp,642060,502260,FALSE
44,02StronglyCorrelated,n02000-R10000-s049.kp,6240110,4820110,FALSE
45,02StronglyCorrelated,n05000-R01000-s074.kp,1603417,1253517,FALSE
46,02StronglyCorrelated,n05000-R10000-s095.kp,15834726,12303726,FALSE
47,02StronglyCorrelated,n10000-R01000-s045.kp,3186133,2483333,FALSE
48,02StronglyCorrelated,n10000-R10000-s090.kp,31912517,24881517,FALSE
49,03InverseStronglyCorrelated,n00050-R01000-s049.kp,12469,14169,TRUE
50,03InverseStronglyCorrelated,n00050-R10000-s063.kp,136461,152461,TRUE
51,03InverseStronglyCorrelated,n00100-R01000-s050.kp,26400,29600,TRUE
52,03InverseStronglyCorrelated,n00100-R10000-s038.kp,247868,279868,TRUE
53,03InverseStronglyCorrelated,n00200-R01000-s064.kp,51706,57906,FALSE
54,03InverseStronglyCorrelated,n00200-R10000-s046.kp,502264,562264,TRUE
55,03InverseStronglyCorrelated,n00500-R01000-s071.kp,131001,146801,FALSE
