layout,algorithm,evalFn,seed,point,WIN/LOSS,time
smallClassic.lay,MinimaxAgent,scoreEvaluationFunction,23520902,1046.0,Win,16.271510362625122
smallClassic.lay,MinimaxAgent,scoreEvaluationFunction,23520903,-588.0,Loss,59.34075689315796
smallClassic.lay,MinimaxAgent,scoreEvaluationFunction,23520904,1122.0,Win,13.741509914398193
smallClassic.lay,MinimaxAgent,scoreEvaluationFunction,23520905,44.0,Loss,12.157969236373901
smallClassic.lay,MinimaxAgent,scoreEvaluationFunction,23520906,312.0,Loss,14.182339906692505
smallClassic.lay,MinimaxAgent,betterEvaluationFunction,23520902,974.0,Win,8.535893678665161
smallClassic.lay,MinimaxAgent,betterEvaluationFunction,23520903,967.0,Win,11.93310260772705
smallClassic.lay,MinimaxAgent,betterEvaluationFunction,23520904,1102.0,Win,17.95333957672119
smallClassic.lay,MinimaxAgent,betterEvaluationFunction,23520905,949.0,Win,10.650693655014038
smallClassic.lay,MinimaxAgent,betterEvaluationFunction,23520906,971.0,Win,11.08579158782959
smallClassic.lay,MinimaxAgent,newBetterEvaluationFunction,23520902,974.0,Win,8.673111200332642
smallClassic.lay,MinimaxAgent,newBetterEvaluationFunction,23520903,963.0,Win,11.891383171081543
smallClassic.lay,MinimaxAgent,newBetterEvaluationFunction,23520904,1428.0,Win,31.58853554725647
smallClassic.lay,MinimaxAgent,newBetterEvaluationFunction,23520905,951.0,Win,9.901639938354492
smallClassic.lay,MinimaxAgent,newBetterEvaluationFunction,23520906,971.0,Win,11.280858993530273
smallClassic.lay,AlphaBetaAgent,scoreEvaluationFunction,23520902,1046.0,Win,10.804944276809692
smallClassic.lay,AlphaBetaAgent,scoreEvaluationFunction,23520903,-588.0,Loss,36.84254550933838
smallClassic.lay,AlphaBetaAgent,scoreEvaluationFunction,23520904,1122.0,Win,9.097083568572998
smallClassic.lay,AlphaBetaAgent,scoreEvaluationFunction,23520905,44.0,Loss,9.313897848129272
smallClassic.lay,AlphaBetaAgent,scoreEvaluationFunction,23520906,312.0,Loss,8.814159393310547
smallClassic.lay,AlphaBetaAgent,betterEvaluationFunction,23520902,974.0,Win,6.147008657455444
smallClassic.lay,AlphaBetaAgent,betterEvaluationFunction,23520903,967.0,Win,7.330304861068726
smallClassic.lay,AlphaBetaAgent,betterEvaluationFunction,23520904,1102.0,Win,11.069681406021118
smallClassic.lay,AlphaBetaAgent,betterEvaluationFunction,23520905,949.0,Win,7.382115602493286
smallClassic.lay,AlphaBetaAgent,betterEvaluationFunction,23520906,971.0,Win,6.960580110549927
smallClassic.lay,AlphaBetaAgent,newBetterEvaluationFunction,23520902,974.0,Win,6.664480686187744
smallClassic.lay,AlphaBetaAgent,newBetterEvaluationFunction,23520903,963.0,Win,7.9419825077056885
smallClassic.lay,AlphaBetaAgent,newBetterEvaluationFunction,23520904,1428.0,Win,20.494325637817383
smallClassic.lay,AlphaBetaAgent,newBetterEvaluationFunction,23520905,951.0,Win,7.246595859527588
smallClassic.lay,AlphaBetaAgent,newBetterEvaluationFunction,23520906,971.0,Win,7.6048195362091064
